,PressBldg,RACO2,RAH,SFanPrv,EFan2Prv
value, 0.0 , 668.7 , 0.3 , On , On 
time,2020-09-22 20:44:19.102676+00:00,2020-09-22 20:44:19.102956+00:00,2020-09-22 20:44:19.102985+00:00,2020-09-22 20:44:19.103007+00:00,2020-09-22 20:44:19.103029+00:00
